"Slightly Advanced Questions"
"What is the solution to the equation 2x - 3 = 7?",5,10,2,-5
"Simplify the expression 4(2x - 1):",8x - 4,8x - 1,4x - 4,8x
"If y = 3x + 4 and x = 2, what is the value of y?",10,12,8,6
"Which of the following is a quadratic equation?",x^2 + 5x + 6 = 0,2x + 5 = 10,3/x = 2,y = 5
"What is the constant in the expression 6x + 7?",7,6,x,13
"If 5x = 25, what is the value of x?",5,10,1,25
"Simplify the expression 2(x + 4) + 3:",2x + 11,2x + 4,8x + 3,11
"What is the degree of the polynomial 4x^3 + 2x^2 + x?",3,2,1,0
"Which of the following is an inequality?",x + 5 > 10,x^2 + 5x + 6 = 0,2x = 10,x/y = 3
"If x = 3 and y = 4, what is the value of 2x + y?",10,8,6,14
